average_rating,author_id,name,ratings_count
4.08,626222,Anita Diamant,546796
3.68,9212,Jennifer Weiner,888522
3.84,3083854,Tom Wolfe,210744
4.01,3389,Stephen King,10666719
4.1,1265,Jane Austen,4693826
4.13,16667,Isaac Asimov,1533093
3.97,123715,Agatha Christie,2559239
4.04,1938,Friedrich Nietzsche,250672
3.61,9343,Kate Mosse,83451
3.98,5031025,Anton Chekhov,190472
4.06,8164,Lewis Carroll,1022402
4.04,36346,Jennifer Donnelly,143792
4.17,3137322,Fyodor Dostoyevsky,1052406
3.68,13730,R.L. Stine,670491
3.84,854076,Robert Louis Stevenson,834908
3.95,3354,Haruki Murakami,1588319
3.82,10885,Edgar Rice Burroughs,220737
4.19,238787,Philip Van Doren Stern,1972
3.64,5669,Leslie Kelly,20519
3.75,512651,Seno Gumira Ajidarma,14563
3.88,8794,Charles Stross,184596
3.74,2565,Ian Fleming,232196
4.08,8993,O. Henry,120633
4.04,35007,William Horwood,11300
4.14,1023510,R.A. Salvatore,677940
4.15,5158478,Anonymous,1070234
4.13,6378,Hans Christian Andersen,258513
4.18,570218,Dalai Lama XIV,179842
3.84,106843,G.A. Henty,18375
4.03,1580,Humphrey Carpenter,17046
4.0,8685,Mercedes Lackey,810564
4.05,1244,Mark Twain,4087862
4.23,7417657,Cook's Illustrated Magazine,31181
3.9,6206,Jenny Nimmo,165124
4.0,73435,Maxine Chernoff,315
3.8,5194,Michael Crichton,1999836
4.14,1654,Terry Pratchett,3267646
4.15,4610,John Sandford,665039
4.37,346732,George R.R. Martin,4277240
4.21,2448,Arthur Conan Doyle,1424024
3.96,7128,Jodi Picoult,2963318
4.31,656983,J.R.R. Tolkien,6424927
4.0,21706,Jeffrey Scheuer,19
4.12,17059,Lynsay Sands,445073
3.72,3370,Geneen Roth,18224
4.0,13388,Shirley Jackson,244025
3.91,21700,Matt Weinstein,172
4.08,21699,Luke Barber,117
3.98,21702,Barbara Bottner,4492
4.18,26181,Peggy Rathmann,68723
3.88,21701,Mari Mancusi,44780
3.8,21705,Rick Tramonto,283
3.85,21704,Mary Goodbody,694
4.15,75038,Tim Turner,1180
3.94,143971,Peter H. Selby,181
4.16,6252,Robert Jordan,1809448
4.02,38951,John Connolly,179327
3.82,296961,Paul Auster,249894
