book_id,similar_books,publication_year,title,writers,illustrators,contributors,editors,translators
977525,[],1999.0,A Boy in Winter,['73435'],[],[],[],[]
38569,[],2001.0,The Sound Bite Society: How Television Helps the Right and Hurts the Left,['21706'],[],[],[],[]
38568,"['225669', '50789', '383143', '293616', '759600', '263178', '46481', '780878']",2005.0,A Quick Bite (Argeneau #1),['17059'],[],[],[],[]
38561,[],2006.0,Bite by Bite,['3370'],[],[],[],[]
38563,[],2004.0,Dogs Don't Bite When a Growl Will Do: What Your Dog Can Teach You About Living a Happy Life,"['21700', '21699']",[],[],[],[]
38562,"['1293450', '293616', '50756', '759600', '12500', '332420', '1346584']",2006.0,A Bite to Remember (Argeneau #5),['17059'],[],[],[],[]
38565,"['886410', '197438', '10278095', '967508', '6527940', '258676', '13407250', '1194503', '1667213', '316569', '824239', '1544662', '3624805', '1441284', '16074959', '1049191', '469061', '13260591']",1997.0,Bootsie Barker Bites,['21702'],['26181'],[],[],[]
38564,"['18194523', '7095692', '6051589', '7242757', '2406857', '7091747', '7744064', '6707693', '23242', '7804173', '797151', '9541850', '2506250', '553250', '7629756', '6611024']",2006.0,"Boys that Bite (Blood Coven Vampire, #1)",['21701'],[],[],[],[]
38567,[],2002.0,Amuse-Bouche: Little Bites of Delight Before the Meal Begins,"['21705', '21704']",[],[],[],[]
246205,[],1975.0,Geometry and Trigonometry for Calculus,['143971'],[],[],[],[]
13892,['515801'],,"The Hunt Begins (The Great Hunt, #1) (Wheel of Time, #2-1)",['6252'],[],[],[],[]
175248,"['275470', '420307', '8038401', '9367664', '17286698', '3264608', '967423', '11206174', '23792', '2255345', '10575798', '499214', '911954', '463776', '32462', '352000', '13064259', '21950347']",,Nocturnes,['38951'],[],[],[],[]
175243,"['128641', '1535604', '1073141', '964996', '21287', '102119', '43681', '358893', '1155492', '1483425', '289166', '664750', '219405', '952358', '241933']",2002.0,"Dark Hollow (Charlie Parker, #2)",['38951'],[],[],[],[]
175242,"['128639', '39507', '456773', '1169991', '482889', '91480', '424644', '487080', '82306', '6978614', '1680502', '57951', '95239', '476575', '130260', '55021']",2000.0,"Every Dead Thing (Charlie Parker, #1)",['38951'],[],[],[],[]
175246,"['128641', '43681', '241934', '76759', '323489', '21287', '3056685', '964990', '95239', '596584', '82300']",2003.0,"The Killing Kind (Charlie Parker, #3)",['38951'],[],[],[],[]
175245,"['128641', '964996', '76759', '920909', '1133805', '43682', '95239', '1203871', '2480489', '1356425', '317370', '78472', '12215496', '655959']",2006.0,"The Black Angel (Charlie Parker, #5)",['38951'],[],[],[],[]
175244,"['128641', '964990', '1287516', '611396', '7739199', '95988', '76759', '7171453', '6109239', '358893']",2004.0,"The White Road (Charlie Parker, #4)",['38951'],[],[],[],[]
117709,[],2006.0,"Spellbinding Quilts: Wizards, Witches, and Magical Characters",['68285'],[],[],[],[]
348524,[],1988.0,Constructing the Political Spectacle,['199983'],[],[],[],[]
243804,"['1749002', '660699', '5599', '1042347', '694962', '782783', '315583', '692765', '278553', '1145766', '474686', '327051', '159997', '2078']",2003.0,Free Will,[],[],[],['142683'],[]
916809,"['958990', '353732', '576171', '614716', '671218', '508227', '28153', '436548', '13556082', '7950269', '1382741', '6545729', '1777758', '124161', '891753', '37077', '7876500']",2003.0,"Fountain of Dreams (Akora, #4)",['339874'],[],[],[],[]
213185,"['2790156', '522892', '1336565', '7299917', '382431', '1649634', '10562172', '194161', '206889', '6017571', '610041', '607084', '97403', '133698', '28937', '426664', '20758069']",2007.0,Petropolis,['124999'],[],[],[],[]
213189,"['25343', '256004', '426682', '160909', '1342248', '7489', '608465', '111209', '425540', '745534', '6632', '1343295', '3420416', '106744', '188497', '145102', '917345', '43273']",1997.0,The Heart of Parenting: Raising an Emotionally Intelligent Child,"['14734208', '31962']",[],[],[],[]
213188,[],2002.0,"Raising Emotionally Intelligent Teenagers: Guiding the Way for Compassionate, Committed, Courageous Adults","['125002', '353065', '353067']",[],[],[],[]
120626,"['7604', '716873', '19178', '32049', '30933', '14469', '8737', '5206937', '485894', '46917', '292668', '70791', '48462', '4652', '365990', '133394', '17728', '685']",1972.0,Des Souris et des hommes,['585'],[],[],[],['6563919']
454801,[],1999.0,Gardening with a Wild Heart: Restoring California's Native Landscapes at Home,['232305'],[],[],[],[]
250813,"['646887', '3195992', '6662896', '4447049', '687930', '587291', '1354104', '23022', '2865182', '9661754', '1260440', '3287096', '9217433', '11174735', '7153049', '115282', '1640963']",2001.0,Generica,"['21042', '3946149']",[],[],[],[]
39307,"['128496', '41538', '2340561', '156298', '2334410', '544385', '1007001', '13330100', '7095798', '170218', '504699', '674687']",2006.0,"The Forbidden (Vampire Huntress, #5)",['1356336'],[],[],[],[]
51923,"['51924', '90976', '201830', '550796', '880634', '299448', '475023', '1139896', '50323', '8364043', '436875', '100054', '90967']",2006.0,Complete Cartoons of the New Yorker,[],[],[],['29305'],[]
1032527,"['371143', '144258', '2919', '809653', '63324', '5941366', '47796', '484102', '1200671', '24054', '25917374', '853603', '5078839', '13642632', '25268', '1540021', '606250']",1979.0,The Tattooed Potato and Other Clues,['10074'],[],[],[],[]
1262532,[],2004.0,That Darn Squid God,"['196963', '201553']",[],[],[],[]
288184,"['657953', '2108564', '985847', '98082', '590234', '627205', '1153389', '701724', '467792', '915295', '643097', '7722688', '743316', '143558', '700877', '220065', '99581', '250555']",2007.0,Shameless,['167069'],[],[],[],[]
263039,[],,Anakin's Race For Freedom,['13931'],[],[],[],[]
263032,"['334833', '555314', '359872', '334813', '611868', '438146']",1999.0,"Star Wars, Episode I, the Phantom Menace",['36122'],[],[],[],[]
263033,[],1999.0,Star Wars Episode I: The Phantom Menace Scrapbook,"['17735', '13931']",[],[],[],[]
263030,"['855704', '403768', '479864', '54146', '351979', '791916', '7493781']",,"The Bartokk Assassins (Star Wars: Episode I Adventures, #2)",['17735'],[],[],[],[]
828184,[],1998.0,Tarzan: The Epic Adventures,['1023510'],[],[],[],[]
79728,"['195661', '718486', '243251', '688559', '614578', '23007967', '361746', '296888', '386632', '17446772', '232026', '2236784', '1373332', '774985', '9706857', '7748695', '682966', '137377']",2006.0,Where Truth Lies,['45332'],[],[],[],[]
79729,[],2007.0,"Where Truth Lies (The Secrets of Stoneley, #6)",['45333'],[],[],[],[]
